ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,685,Catherine Snow,Senior,"Temple, Texas",Troy HS,,"5'7""",Guard,1,https://www.12thman.com/sports/womens-basketball/roster/catherine-snow/685,2010-11
697,Texas A&M,678,Kelsey Bone,Sophomore,"Houston, Texas",Dulles HS,,"6'4""",Center,3,https://www.12thman.com/sports/womens-basketball/roster/kelsey-bone/678,2010-11
697,Texas A&M,679,Sydney Carter,Junior,"DeSoto, Texas",DeSoto HS,,"5'6""",Guard,4,https://www.12thman.com/sports/womens-basketball/roster/sydney-carter/679,2010-11
697,Texas A&M,677,Kristi Bellock,Sophomore,"St. Rose, La.",John Curtis Christian School,,"6'1""",Forward/Guard,5,https://www.12thman.com/sports/womens-basketball/roster/kristi-bellock/677,2010-11
697,Texas A&M,687,Cierra Windham,Sophomore,"Corona, Calif.",Norco HS,,"6'0""",Forward/Guard,12,https://www.12thman.com/sports/womens-basketball/roster/cierra-windham/687,2010-11
697,Texas A&M,2947,Kristen Grant,Freshman,"Arlington, Texas",Lamar,,"5'9""",G,14,https://www.12thman.com/sports/womens-basketball/roster/kristen-grant/2947,2010-11
697,Texas A&M,676,Maryann Baker,Senior,"Dallas, Texas",Bishop Lynch HS,,"5'10""",Guard,15,https://www.12thman.com/sports/womens-basketball/roster/maryann-baker/676,2010-11
697,Texas A&M,686,Tyra White,Junior,"Kansas City, Mo.",Hickman Mills HS,,"6'0""",Guard,20,https://www.12thman.com/sports/womens-basketball/roster/tyra-white/686,2010-11
697,Texas A&M,682,Adaora Elonu,Junior,"Houston, Texas",Alief Elsik HS,,"6'1""",Forward,21,https://www.12thman.com/sports/womens-basketball/roster/adaora-elonu/682,2010-11
697,Texas A&M,674,Danielle Adams,Senior,"Kansas City, Mo.",Lee's Summitt HS,,"6'1""",Forward/Center,23,https://www.12thman.com/sports/womens-basketball/roster/danielle-adams/674,2010-11
697,Texas A&M,680,Skylar Collins,Junior,"Cedar Hill, Texas",Cedar Hill HS,,"5'9""",Guard,25,https://www.12thman.com/sports/womens-basketball/roster/skylar-collins/680,2010-11
697,Texas A&M,684,Adrienne Pratcher,Sophomore,"Memphis, Tenn.",East HS,,"5'7""",Guard,32,https://www.12thman.com/sports/womens-basketball/roster/adrienne-pratcher/684,2010-11
697,Texas A&M,683,Karla Gilbert,Freshman,"College Station, Texas",A&M Consolidated HS,,"6'5""",Center,34,https://www.12thman.com/sports/womens-basketball/roster/karla-gilbert/683,2010-11
697,Texas A&M,675,Kelsey Assarian,Junior,"Naples, Fla.",Barron Collier HS,,"6'1""",Forward,40,https://www.12thman.com/sports/womens-basketball/roster/kelsey-assarian/675,2010-11
697,Texas A&M,681,Sydney Colson,Senior,"Houston, Texas",Westside HS,,"5'8""",Guard,51,https://www.12thman.com/sports/womens-basketball/roster/sydney-colson/681,2010-11
8,Alabama,8958,Loyal McQueen,Senior,"Florence, S.C.",,Georgia Tech,"5'8""",Guard,0,https://www.rolltide.com/sports/womens-basketball/roster/loyal-mcqueen/8958,2010-11
8,Alabama,8955,Sarah Ashlee Barker,Senior,"Birmingham, Ala.",,Georgia,"6'0""",Guard,3,https://www.rolltide.com/sports/womens-basketball/roster/sarah-ashlee-barker/8955,2010-11
8,Alabama,8966,Reychel Douglas,Freshman,"Raleigh, N.C.",,,"6'0""",Guard,5,https://www.rolltide.com/sports/womens-basketball/roster/reychel-douglas/8966,2010-11
8,Alabama,8956,Ryan Cobbins,Graduate Student,"Kansas City, Kan.",,North Dakota State,"6'0""",Guard/Forward,10,https://www.rolltide.com/sports/womens-basketball/roster/ryan-cobbins/8956,2010-11
