team_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
721,Air Force,,Maddie Jensen,Freshman,"Brookfield, Wisc.",Brookfield Central HS,,"5'7""",G,,https://goairforcefalcons.com/sports/womens-basketball/roster/maddie-jensen/23014,2025-26
721,Air Force,,Eva Love,Freshman,"Albuquerque, N.M.",La Cueva HS/USAFA Prep,,"5'9""",G,,https://goairforcefalcons.com/sports/womens-basketball/roster/eva-love/23011,2025-26
721,Air Force,,AJ Mannering,Freshman,"Peyton, Colo.",Peyton HS/USAFA Prep,,"5'8""",G,,https://goairforcefalcons.com/sports/womens-basketball/roster/aj-mannering/23012,2025-26
721,Air Force,,Kori Rainwater,Freshman,"Tahlequah, Okla.",Tahlequah HS/USAFA Prep,,"6'1""",F,,https://goairforcefalcons.com/sports/womens-basketball/roster/kori-rainwater/23010,2025-26
29,Arizona,18565,Mickayla Perdue,Graduate Student,"Springfield, Ohio",Springfield,Glenville State,"5'7""",G,0,https://www.arizonawildcats.com/sports/womens-basketball/roster/mickayla-perdue/18565,2025-26
29,Arizona,18566,Kamryn Kitchen,Sophomore,"Charlotte, N.C.",Independence,Virginia,"5'9""",G,1,https://www.arizonawildcats.com/sports/womens-basketball/roster/kamryn-kitchen/18566,2025-26
29,Arizona,18567,Sumayah Sugapong,Junior,"San Diego, Calif.",La Jolla Country Day,UC San Diego,"5'7""",G,3,https://www.arizonawildcats.com/sports/womens-basketball/roster/sumayah-sugapong/18567,2025-26
29,Arizona,18568,Noelani Cornfield,Graduate Student,"Gowanda, NY",Lake Shore,University at Buffalo,"5'6""",G,4,https://www.arizonawildcats.com/sports/womens-basketball/roster/noelani-cornfield/18568,2025-26
29,Arizona,18569,Molly Ladwig,Freshman,"Omaha, Nebraska",Skutt Catholic,,"5'9""",G,5,https://www.arizonawildcats.com/sports/womens-basketball/roster/molly-ladwig/18569,2025-26
29,Arizona,18570,Mireia  Jurado,Freshman,"Avinyó, Barcelona, Spain",,Segle XXI,"6'0""",G,8,https://www.arizonawildcats.com/sports/womens-basketball/roster/mireia-jurado/18570,2025-26
29,Arizona,18571,Fredriecka Wallace,Senior,"Lincoln, Nebraska",Lincoln Southwest,Kansas,"6'2""",F,10,https://www.arizonawildcats.com/sports/womens-basketball/roster/fredriecka-wallace/18571,2025-26
29,Arizona,18572,Tanyuel Welch,Redshirt Junior,"Indianapolis, Ind.",North Central,Memphis,"5'10""",G,11,https://www.arizonawildcats.com/sports/womens-basketball/roster/tanyuel-welch/18572,2025-26
29,Arizona,18558,Montaya Dew,Redshirt Junior,"Las Vegas, Nev.",Centennial HS,,"6'2""",F,12,https://www.arizonawildcats.com/sports/womens-basketball/roster/montaya-dew/18558,2025-26
29,Arizona,18574,Nora Francois,Fifth Year,"Minneapolis, Minn.",Minnetonka,New Orleans,"6'2""",F,13,https://www.arizonawildcats.com/sports/womens-basketball/roster/nora-francois/18574,2025-26
29,Arizona,18575,Achol Magot,Junior,"Tucson, Ariz.",Salpointe Catholic,Texas Tech,"6'7""",C,20,https://www.arizonawildcats.com/sports/womens-basketball/roster/achol-magot/18575,2025-26
29,Arizona,18577,Ogheneruona (Miracle) Akpotayobo,Freshman,"Delta State, Nigeria",WT White,,"6'3""",F,21,https://www.arizonawildcats.com/sports/womens-basketball/roster/ogheneruona-miracle-akpotayobo/18577,2025-26
29,Arizona,18576,Daniah  Trammell,Freshman,"Cincinnati, Ohio",Winton Woods,,"6'1""",F,33,https://www.arizonawildcats.com/sports/womens-basketball/roster/daniah-trammell/18576,2025-26
725,Army,,Anna Eng,Junior,"Croton on Hudson, N.Y.",Fairfield,Fairfield,"5'5""",Guard,1,https://goarmywestpoint.com/sports/womens-basketball/roster/anna-eng/23331,2025-26
