ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,4242,Khaalia Hillsman,Junior,"Chicago, Ill.",Whitney Young HS,,"6'5""",Center,00,https://www.12thman.com/sports/womens-basketball/roster/khaalia-hillsman/4242,2016-17
697,Texas A&M,4249,Aahliyah Jackson,Freshman,"Ft. Smith, Ark.",Northside HS,,"5'10""",Guard,1,https://www.12thman.com/sports/womens-basketball/roster/aahliyah-jackson/4249,2016-17
697,Texas A&M,4241,Taylor Cooper,Senior,"Shawnee, Okla.",Shawnee HS,Oral Roberts,"5'11""",Forward,3,https://www.12thman.com/sports/womens-basketball/roster/taylor-cooper/4241,2016-17
697,Texas A&M,4243,Anriel Howard,Sophomore,"Atlanta, Ga.",Westlake HS,,"5'11""",Forward,5,https://www.12thman.com/sports/womens-basketball/roster/anriel-howard/4243,2016-17
697,Texas A&M,4244,Curtyce Knox,Senior,"Humble, Texas",Atascocita HS,,"5'7""",Guard,11,https://www.12thman.com/sports/womens-basketball/roster/curtyce-knox/4244,2016-17
697,Texas A&M,4248,Danni Williams,Sophomore,"Clovis, N.M.",Clovis HS,,"5'10""",Guard,12,https://www.12thman.com/sports/womens-basketball/roster/danni-williams/4248,2016-17
697,Texas A&M,4250,Jasmine Williams,Freshman,"Houston, Texas",Cy-Woods HS,,"5'10""",Guard,15,https://www.12thman.com/sports/womens-basketball/roster/jasmine-williams/4250,2016-17
697,Texas A&M,4678,Alyssa Michalke,Senior,"Schulenburg, Texas",Schulenburg,,"5'7""",Guard,20,https://www.12thman.com/sports/womens-basketball/roster/alyssa-michalke/4678,2016-17
697,Texas A&M,4245,Jasmine Lumpkin,Junior,"Bolingbrook, Ill.",Joliet Catholic Academy,Michigan State,"6'0""",Forward/Guard,21,https://www.12thman.com/sports/womens-basketball/roster/jasmine-lumpkin/4245,2016-17
697,Texas A&M,4252,Walnatia Wright,Junior,"Augusta, Ga.",Laney HS,Midland College,"6'2""",Center,24,https://www.12thman.com/sports/womens-basketball/roster/walnatia-wright/4252,2016-17
697,Texas A&M,4253,Rakell Spencer,Freshman,"New Orleans, La.",Cabrini HS,,"5'11""",Guard,25,https://www.12thman.com/sports/womens-basketball/roster/rakell-spencer/4253,2016-17
697,Texas A&M,4254,Caylinne Martin,Junior,"Houston, Texas",Langham Creek HS,McLennan CC,"6'3""",Forward,34,https://www.12thman.com/sports/womens-basketball/roster/caylinne-martin/4254,2016-17
8,Alabama,385,Quanetria Bolton,Junior,"Anniston, Ala.",Anniston High School,,"6'0""",Forward,1,https://www.rolltide.com/sports/womens-basketball/roster/quanetria-bolton/385,2016-17
8,Alabama,3749,Amber Richardson,Sophomore,"Garner, N.C.",Southeast Raleigh HS,,"6'0""",Guard,2,https://www.rolltide.com/sports/womens-basketball/roster/amber-richardson/3749,2016-17
8,Alabama,391,Jordan Lewis,Freshman,"Windermere, Fla.",Lake Highland Prep,,"5'7""",Guard,3,https://www.rolltide.com/sports/womens-basketball/roster/jordan-lewis/391,2016-17
8,Alabama,3286,Alana da Silva,Junior,"Sao Paulo, Brazil",Colegio Abaco,,"5'6""",Guard,5,https://www.rolltide.com/sports/womens-basketball/roster/alana-da-silva/3286,2016-17
8,Alabama,393,DaiJia Ruffin,Sophomore,"Louisville, Ky.",Sacred Heart Academy,,"5'9""",Guard,10,https://www.rolltide.com/sports/womens-basketball/roster/daijia-ruffin/393,2016-17
