ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,2451,Courtney Williams,Freshman,"Houston, Texas",North Shore HS,,"6'1""",Forward/Guard,1,https://www.12thman.com/sports/womens-basketball/roster/courtney-williams/2451,2012-13
697,Texas A&M,2452,Cierra Windham,Senior,"Corona, Calif.",Norco HS,,"6'0""",Forward/Guard,2,https://www.12thman.com/sports/womens-basketball/roster/cierra-windham/2452,2012-13
697,Texas A&M,2441,Kelsey Bone,Junior,"Houston, Texas",Dulles HS,,"6'4""",Center,3,https://www.12thman.com/sports/womens-basketball/roster/kelsey-bone/2441,2012-13
697,Texas A&M,2440,Kristi Bellock,Senior,"St. Rose, La.",John Curtis Christian School,,"6'1""",Forward,5,https://www.12thman.com/sports/womens-basketball/roster/kristi-bellock/2440,2012-13
697,Texas A&M,2445,Curtyce Knox,Freshman,"Humble, Texas",Atascocita HS,,"5'7""",Guard,11,https://www.12thman.com/sports/womens-basketball/roster/curtyce-knox/2445,2012-13
697,Texas A&M,2443,Chelsea Jennings,Freshman,"Fort Worth, Texas",North Crowley HS,,"5'9""",Guard,13,https://www.12thman.com/sports/womens-basketball/roster/chelsea-jennings/2443,2012-13
697,Texas A&M,2949,Kristen Grant,Junior,"Arlington, Texas",Lamar,,"5'9""",G,14,https://www.12thman.com/sports/womens-basketball/roster/kristen-grant/2949,2012-13
697,Texas A&M,2449,Tori Scott,Sophomore,"Marrero, La.",John Ehret HS,,"5'10""",Guard,15,https://www.12thman.com/sports/womens-basketball/roster/tori-scott/2449,2012-13
697,Texas A&M,2446,Peyton Little,Freshman,"Abilene, Texas",Wylie HS,,"5'11""",Guard,20,https://www.12thman.com/sports/womens-basketball/roster/peyton-little/2446,2012-13
697,Texas A&M,2447,Rachel Mitchell,Freshman,"Houston, Texas",Atascocita HS,,"6'7""",Center,23,https://www.12thman.com/sports/womens-basketball/roster/rachel-mitchell/2447,2012-13
697,Texas A&M,2444,Jordan Jones,Freshman,"DeSoto, Texas",DeSoto HS,,"5'6""",Guard,24,https://www.12thman.com/sports/womens-basketball/roster/jordan-jones/2444,2012-13
697,Texas A&M,2448,Adrienne Pratcher,Senior,"Memphis, Tenn.",East HS,,"5'7""",Guard,32,https://www.12thman.com/sports/womens-basketball/roster/adrienne-pratcher/2448,2012-13
697,Texas A&M,2450,Courtney Walker,Freshman,"Edmond, Okla.",Santa Fe HS,,"5'8""",Guard,33,https://www.12thman.com/sports/womens-basketball/roster/courtney-walker/2450,2012-13
697,Texas A&M,2442,Karla Gilbert,Junior,"College Station, Texas",A&M Consolidated HS,,"6'5""",Center,34,https://www.12thman.com/sports/womens-basketball/roster/karla-gilbert/2442,2012-13
8,Alabama,435,Daisha Simmons,Sophomore,"Jersey City, N.J.",Rutgers,,"5'10""",Guard,0,https://www.rolltide.com/sports/womens-basketball/roster/daisha-simmons/435,2012-13
