ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
721,Air Force,11807,Mackenzie Le,Freshman,"Elk Grove, CA",St. Francis,,"5'3""",G,1,https://www.goairforcefalcons.com/sports/womens-basketball/roster/mackenzie-le/11807,2022-23
721,Air Force,11805,Milahnie Perry,Freshman,"Tampa, FL",Seffner Christian Academy,,"5'7""",G,2,https://www.goairforcefalcons.com/sports/womens-basketball/roster/milahnie-perry/11805,2022-23
721,Air Force,11801,Madison Smith,Sophomore,"Connell, WA",Connell,,"5'8""",G,4,https://www.goairforcefalcons.com/sports/womens-basketball/roster/madison-smith/11801,2022-23
721,Air Force,11795,Taylor Britt,Junior,"Columbia, SC",Spring Valley,USAFA Prep,"5'7""",G,5,https://www.goairforcefalcons.com/sports/womens-basketball/roster/taylor-britt/11795,2022-23
721,Air Force,11796,Kamri Heath,Senior,"Edmond, OK",Edmond North,,"5'7""",G,10,https://www.goairforcefalcons.com/sports/womens-basketball/roster/kamri-heath/11796,2022-23
721,Air Force,11800,Kayla Pilson,Junior,"Houston, TX",Westside,USAFA Prep,"5'10""",G/F,11,https://www.goairforcefalcons.com/sports/womens-basketball/roster/kayla-pilson/11800,2022-23
721,Air Force,11806,Faith Shelton,Freshman,"Stockton, CA",Lincoln,,"6'2""",C/F,13,https://www.goairforcefalcons.com/sports/womens-basketball/roster/faith-shelton/11806,2022-23
721,Air Force,11804,Griffin Greenwood,Freshman,"Monument, CO",Lewis-Palmer,,"5'11""",F,21,https://www.goairforcefalcons.com/sports/womens-basketball/roster/griffin-greenwood/11804,2022-23
721,Air Force,11803,Parker Brown,Freshman,"Spokane, WA",Mead,,"6'0""",F,23,https://www.goairforcefalcons.com/sports/womens-basketball/roster/parker-brown/11803,2022-23
721,Air Force,11798,Dasha Macmillan,Junior,"Colleyville, TX",Grapevine,,"6'0""",F,30,https://www.goairforcefalcons.com/sports/womens-basketball/roster/dasha-macmillan/11798,2022-23
721,Air Force,11802,Emily Adams,Freshman,"Lebanon, OH",Bishop Fenwick,USAFA Prep,"6'0""",F,31,https://www.goairforcefalcons.com/sports/womens-basketball/roster/emily-adams/11802,2022-23
721,Air Force,11799,Nikki McDonald,Senior,"Chicago, IL",St. Ignatius College Prep,,"5'11""",F,33,https://www.goairforcefalcons.com/sports/womens-basketball/roster/nikki-mcdonald/11799,2022-23
721,Air Force,11797,Jo Huntimer,Sophomore,"Honolulu, HI",Iolani,,"5'7""",G,40,https://www.goairforcefalcons.com/sports/womens-basketball/roster/jo-huntimer/11797,2022-23
697,Texas A&M,11255,Sydney Bowles,Freshman,"Lithonia, Georgia",Woodward Academy,,"6'0""",Guard,00,https://www.12thman.com/sports/womens-basketball/roster/sydney-bowles/11255,2022-23
697,Texas A&M,11257,Mya Petticord,Freshman,"Detroit, Michigan",Arbor Prep,,"5'9""",Guard,1,https://www.12thman.com/sports/womens-basketball/roster/mya-petticord/11257,2022-23
697,Texas A&M,11254,Janiah Barker,Freshman,"Marietta, Georgia",Montverde Academy,,"6'4""",Forward,2,https://www.12thman.com/sports/womens-basketball/roster/janiah-barker/11254,2022-23
697,Texas A&M,11256,Tineya Hylton,Sophomore,"Toronto, Ontario, Canada",Royal Crown Academic School,Georgia,"5'7""",Guard,3,https://www.12thman.com/sports/womens-basketball/roster/tineya-hylton/11256,2022-23
697,Texas A&M,10778,Kay Kay Green,Junior,"Chicago, Ill.",Whitney Young,,"5'6""",Guard,4,https://www.12thman.com/sports/womens-basketball/roster/kay-kay-green/10778,2022-23
697,Texas A&M,10784,Jada Malone,Sophomore,"Spring, Texas",The Village School,,"6'3""",Forward,13,https://www.12thman.com/sports/womens-basketball/roster/jada-malone/10784,2022-23
697,Texas A&M,10781,Maliyah Johnson,Junior,"Chicago, Ill.",Summer Creek,,"6'3""",Forward,14,https://www.12thman.com/sports/womens-basketball/roster/maliyah-johnson/10781,2022-23
697,Texas A&M,10783,Eriny Kindred,Sophomore,"Del Valle, Texas",Del Valle,,"5'10""",Guard,21,https://www.12thman.com/sports/womens-basketball/roster/eriny-kindred/10783,2022-23
697,Texas A&M,10779,McKinzie Green,Graduate Student,"Manvel, Texas",Manvel,,"5'6""",Guard,23,https://www.12thman.com/sports/womens-basketball/roster/mckinzie-green/10779,2022-23
697,Texas A&M,10782,Sahara Jones,Junior,"San Antonio, Texas",Memorial,,"6'0""",Guard,24,https://www.12thman.com/sports/womens-basketball/roster/sahara-jones/10782,2022-23
697,Texas A&M,10787,Aaliyah Patty,Graduate Student,"West Chester, Ill.",Montini Catholic,Ohio State,"6'3""",Forward,32,https://www.12thman.com/sports/womens-basketball/roster/aaliyah-patty/10787,2022-23
697,Texas A&M,10790,Sydnee Roby,Senior,"Milwaukee, Wis.",Rufus King,Miami,"6'3""",Center,44,https://www.12thman.com/sports/womens-basketball/roster/sydnee-roby/10790,2022-23
8,Alabama,8240,Loyal McQueen,Junior,"Florence, S.C.",,Georgia Tech,"5'8""",Guard,0,https://www.rolltide.com/sports/womens-basketball/roster/loyal-mcqueen/8240,2022-23
8,Alabama,8236,Megan Abrams,Graduate Student,"Lafayette, La.",,Lafayette Christian Academy,"5'9""",Guard,1,https://www.rolltide.com/sports/womens-basketball/roster/megan-abrams/8236,2022-23
