ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,4932,Khaalia Hillsman,Senior,"Chicago, Ill.",Whitney Young HS,,"6'5""",Center,00,https://www.12thman.com/sports/womens-basketball/roster/khaalia-hillsman/4932,2017-18
697,Texas A&M,4934,Aahliyah Jackson,Sophomore,"Ft. Smith, Ark.",Northside HS,,"5'10""",Guard,1,https://www.12thman.com/sports/womens-basketball/roster/aahliyah-jackson/4934,2017-18
697,Texas A&M,4938,Aaliyah Wilson,Sophomore,"Muskogee, Okla.",Muskogee,Arkansas,"5'11""",Guard,2,https://www.12thman.com/sports/womens-basketball/roster/aaliyah-wilson/4938,2017-18
697,Texas A&M,4939,Chennedy Carter,Freshman,"Mansfield, Texas",Timberview,,"5'7""",Guard,3,https://www.12thman.com/sports/womens-basketball/roster/chennedy-carter/4939,2017-18
697,Texas A&M,4940,Lulu McKinney,Senior,"Houston, Texas",A&M Consolidated,UTEP,"5'7""",Guard,4,https://www.12thman.com/sports/womens-basketball/roster/lulu-mckinney/4940,2017-18
697,Texas A&M,4933,Anriel Howard,Junior,"Atlanta, Ga.",Westlake HS,,"5'11""",Forward,5,https://www.12thman.com/sports/womens-basketball/roster/anriel-howard/4933,2017-18
697,Texas A&M,4941,Kayla Wells,Freshman,"Dallas, Texas",South Grand Prairie,,"6'0""",Guard,11,https://www.12thman.com/sports/womens-basketball/roster/kayla-wells/4941,2017-18
697,Texas A&M,4936,Danni Williams,Junior,"Clovis, N.M.",Clovis HS,,"5'10""",Guard,12,https://www.12thman.com/sports/womens-basketball/roster/danni-williams/4936,2017-18
697,Texas A&M,4942,Jada Walton,Freshman,"Lithonia, Ga.",Southwest DeKalb,,"5'11""",Guard,14,https://www.12thman.com/sports/womens-basketball/roster/jada-walton/4942,2017-18
697,Texas A&M,4937,Jasmine Williams,Sophomore,"Houston, Texas",Cy-Woods HS,,"5'10""",Guard,15,https://www.12thman.com/sports/womens-basketball/roster/jasmine-williams/4937,2017-18
